id,type,label,data
claim:0012,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""asserted"",""id"":""claim:0012"",""locator"":""keystone_data_room_extract.md::section:w1250-1500:keystone_data_room_extract.md::section:w1250-1500 — Revenue row, first data column"",""statement"":""Revenue in the opening month (2025-11-01) was $4.26 million."",""type"":""claim"",""unit"":""$m"",""value"":""4.26""}"
period:fy2025,period,FY2025,"{""id"":""period:fy2025"",""label"":""FY2025"",""type"":""period""}"
claim:0013,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""asserted"",""id"":""claim:0013"",""locator"":""keystone_data_room_extract.md::section:w1250-1500:keystone_data_room_extract.md::section:w1250-1500 — Gross profit row, first data column"",""statement"":""Gross profit in the opening month (2025-11-01) was $1.455 million."",""type"":""claim"",""unit"":""$m"",""value"":""1.455""}"
metric:gross_profit,metric,Gross Profit,"{""id"":""metric:gross_profit"",""label"":""Gross Profit"",""type"":""metric""}"
claim:0014,claim,,"{""deal"":""keystone"",""derivation"":""Gross profit $1.455m ÷ Revenue $4.26m = 34.15%"",""direction"":""context"",""epistemic"":""derived"",""id"":""claim:0014"",""locator"":""keystone_data_room_extract.md::section:w1250-1500:keystone_data_room_extract.md::section:w1250-1500 — Gross margin row, initial value 0.341549295775"",""statement"":""Gross margin for the opening period (2025-11-01) was 34.15%, consistent with the stated gross margin percentage of 0.3415."",""type"":""claim"",""unit"":""%"",""value"":""34.15""}"
metric:gross_margin,metric,Gross Margin,"{""id"":""metric:gross_margin"",""label"":""Gross Margin"",""type"":""metric""}"
claim:0015,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0015"",""locator"":""keystone_data_room_extract.md::section:w2000-2250:Customer ledger / KS-DL-1.2 — RIV-CORP row"",""statement"":""Riverton Corporate EHS (RIV-CORP) represents 2.58% of customer revenue concentration."",""type"":""claim"",""unit"":""x"",""value"":""0.0258""}"
metric:customer_concentration,metric,Customer Concentration,"{""id"":""metric:customer_concentration"",""label"":""Customer Concentration"",""type"":""metric""}"
author:data_room_extract,author,Data room extract,"{""id"":""author:data_room_extract"",""label"":""Data room extract"",""type"":""author""}"
claim:0016,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0016"",""locator"":""keystone_data_room_extract.md::section:w2000-2250:Customer ledger / KS-DL-1.2 — BIO-01 row"",""statement"":""BioHealth Laboratories (BIO-01) represents 2.30% of customer revenue concentration."",""type"":""claim"",""unit"":""x"",""value"":""0.023""}"
claim:0017,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0017"",""locator"":""keystone_data_room_extract.md::section:w2000-2250:Customer ledger / KS-DL-1.2 — APX-01 row"",""statement"":""Apex Manufacturing - Main (APX-01) represents 2.16% of customer revenue concentration."",""type"":""claim"",""unit"":""x"",""value"":""0.0216""}"
claim:0018,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""supports"",""epistemic"":""observed"",""id"":""claim:0018"",""locator"":""keystone_data_room_extract.md::section:w2000-2250:Customer ledger / KS-DL-1.2 — contract type column"",""statement"":""Six customers in the customer ledger have recurring or repeat revenue contracts, supporting revenue stability."",""type"":""claim"",""unit"":null,""value"":""5.0""}"
metric:recurring_revenue,metric,Recurring Revenue,"{""id"":""metric:recurring_revenue"",""label"":""Recurring Revenue"",""type"":""metric""}"
claim:0019,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0019"",""locator"":""keystone_data_room_extract.md::section:w2250-2500:Customer ledger / KS-DL-1.2 | Riverton customer concentration table"",""statement"":""RIV-MIL (Riverton Metals - Milltown) represents 1.76% of customer concentration within the Riverton Industrial Group portfolio."",""type"":""claim"",""unit"":null,""value"":""0.0175675675676""}"
entity:riverton_group,entity,Riverton Group,"{""id"":""entity:riverton_group"",""label"":""Riverton Group"",""type"":""entity""}"
perimeter:riverton_group,perimeter,Riverton Group,"{""id"":""perimeter:riverton_group"",""label"":""Riverton Group"",""type"":""perimeter""}"
claim:0020,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0020"",""locator"":""keystone_data_room_extract.md::section:w2250-2500:Customer ledger / KS-DL-1.2 | Riverton customer concentration table"",""statement"":""RIV-CHEM (Riverton Chemicals - East) represents 1.62% of customer concentration within the Riverton Industrial Group portfolio."",""type"":""claim"",""unit"":null,""value"":""0.0162162162162""}"
claim:0021,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0021"",""locator"":""keystone_data_room_extract.md::section:w1750-2000:keystone_data_room_extract.md::section:w1750-2000 | Billing Account RIV-DEC"",""statement"":""Riverton Advanced Materials - Decatur (Ultimate Parent: Riverton Industrial Group) generated $5.624m in 2025 revenue from EHS Compliance services in industrial manufacturing (Midwest)."",""type"":""claim"",""unit"":""$m"",""value"":""5.624""}"
author:customer_ledger_/_ks-dl-1.2,author,Customer ledger / KS-DL-1.2,"{""id"":""author:customer_ledger_/_ks-dl-1.2"",""label"":""Customer ledger / KS-DL-1.2"",""type"":""author""}"
claim:0022,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0022"",""locator"":""keystone_data_room_extract.md::section:w1750-2000:keystone_data_room_extract.md::section:w1750-2000 | Billing Account RIV-DEC"",""statement"":""Riverton Advanced Materials - Decatur represents 7.6% of total 2025 revenue."",""type"":""claim"",""unit"":""%"",""value"":""0.076""}"
claim:0023,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""supports"",""epistemic"":""observed"",""id"":""claim:0023"",""locator"":""keystone_data_room_extract.md::section:w1750-2000:keystone_data_room_extract.md::section:w1750-2000 | Billing Account RIV-DEC"",""statement"":""Riverton Advanced Materials - Decatur contract (commenced 2017-02-01) requires 60 days termination notice and triggers notice (not consent) on change of control."",""type"":""claim"",""unit"":null,""value"":""60 days termination notice; no change of control consent required""}"
claim:0024,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""supports"",""epistemic"":""observed"",""id"":""claim:0024"",""locator"":""keystone_data_room_extract.md::section:w1750-2000:keystone_data_room_extract.md::section:w1750-2000 | Billing Account RIV-DEC"",""statement"":""Riverton Advanced Materials - Decatur has maintained a 9-year relationship tenure since contract start in February 2017."",""type"":""claim"",""unit"":""years"",""value"":""9.0""}"
claim:0025,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0025"",""locator"":""keystone_data_room_extract.md::section:w3750-4000:Customer ledger / KS-DL-1.2; Account 23"",""statement"":""Oak Ridge Manufacturing 2 (Account 23) represents a concentration metric of 0.9865 in the customer ledger."",""type"":""claim"",""unit"":null,""value"":""0.986538650642""}"
author:qoe_provider,author,QoE provider,"{""id"":""author:qoe_provider"",""label"":""QoE provider"",""type"":""author""}"
claim:0026,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0026"",""locator"":""keystone_data_room_extract.md::section:w3750-4000:Customer ledger / KS-DL-1.2; Account 24"",""statement"":""Summit Water 2 (Account 24) represents a concentration metric of 0.9745 in the customer ledger."",""type"":""claim"",""unit"":null,""value"":""0.974532095056""}"
claim:0027,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0027"",""locator"":""keystone_data_room_extract.md::section:w3750-4000:Customer ledger / KS-DL-1.2; Account 25"",""statement"":""Keystone Health 2 (Account 25) represents a concentration metric of 0.9625 in the customer ledger."",""type"":""claim"",""unit"":null,""value"":""0.96252553947""}"
claim:0028,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0028"",""locator"":""keystone_data_room_extract.md::section:w3750-4000:Customer ledger / KS-DL-1.2; Account 26"",""statement"":""Lakefront Infrastructure 2 (Account 26) represents a concentration metric of 0.9505 in the customer ledger."",""type"":""claim"",""unit"":null,""value"":""0.950518983884""}"
claim:0029,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0029"",""locator"":""keystone_data_room_extract.md::section:w4500-4750:keystone_data_room_extract.md::section:w4500-4750, row 1, 2025 Revenue column"",""statement"":""Project RIV-DEC-P1 (Riverton Industrial Group, EHS Compliance) generated 2025 revenue of $1.62 million."",""type"":""claim"",""unit"":""$m"",""value"":""1.618""}"
claim:0030,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0030"",""locator"":""keystone_data_room_extract.md::section:w4500-4750:keystone_data_room_extract.md::section:w4500-4750, row 1, Gross Margin % column"",""statement"":""Project RIV-DEC-P1 (Riverton Industrial Group, EHS Compliance) achieved 2025 gross margin of 30.7%."",""type"":""claim"",""unit"":""%"",""value"":""30.7""}"
claim:0031,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0031"",""locator"":""keystone_data_room_extract.md::section:w4500-4750:keystone_data_room_extract.md::section:w4500-4750, row 2, 2025 Revenue column"",""statement"":""Project RIV-DEC-P2 (Riverton Industrial Group, EHS Compliance) generated 2025 revenue of $0.75 million."",""type"":""claim"",""unit"":""$m"",""value"":""0.754""}"
claim:0032,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0032"",""locator"":""keystone_data_room_extract.md::section:w4500-4750:keystone_data_room_extract.md::section:w4500-4750, row 3, 2025 Revenue column"",""statement"":""Project RIV-DEC-P3 (Riverton Industrial Group, EHS Compliance) generated 2025 revenue of $3.25 million."",""type"":""claim"",""unit"":""$m"",""value"":""3.252""}"
claim:0033,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0033"",""locator"":""keystone_data_room_extract.md::section:w4250-4500:Concentration Summary table, Largest customer row, Ultimate-parent view column"",""statement"":""Largest customer concentration is 0.182 (18.2%) at ultimate-parent view, measured from billing account data."",""type"":""claim"",""unit"":null,""value"":""0.182""}"
claim:0034,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0034"",""locator"":""keystone_data_room_extract.md::section:w4250-4500:Concentration Summary table, Top five row, Ultimate-parent view column"",""statement"":""Top five customers concentration is 0.365 (36.5%) at ultimate-parent view, measured from billing account data."",""type"":""claim"",""unit"":null,""value"":""0.365""}"
claim:0035,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0035"",""locator"":""keystone_data_room_extract.md::section:w4250-4500:Concentration Summary table, Top ten row, Ultimate-parent view column"",""statement"":""Top ten customers concentration is 0.505 (50.5%) at ultimate-parent view, measured from billing account data."",""type"":""claim"",""unit"":null,""value"":""0.505""}"
claim:0036,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0036"",""locator"":""keystone_data_room_extract.md::section:w4250-4500:Concentration Summary table, Total revenue row"",""statement"":""Total revenue in FY2025A is $74 million, as confirmed in Concentration Summary check."",""type"":""claim"",""unit"":""$m"",""value"":""74.0""}"
claim:0037,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0037"",""locator"":""keystone_data_room_extract.md::section:w5000-5250:Data room extract w5000-5250: Customer ledger table"",""statement"":""Customer contract portfolio includes recurring revenue contracts with MedCore Health (Industrial Hygiene), Riverton Industrial Group (EHS Compliance), and BioHealth Laboratories (Industrial Hygiene), with contract terms ranging from 2024-2026 and payment terms of 30-60 days."",""type"":""claim"",""unit"":null,""value"":null}"
author:data_room,author,Data room,"{""id"":""author:data_room"",""label"":""Data room"",""type"":""author""}"
claim:0038,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0038"",""locator"":""keystone_data_room_extract.md::section:w5000-5250:Data room extract w5000-5250: Customer contract ledger"",""statement"":""Portfolio of recurring revenue contracts documented in project ledger includes Industrial Hygiene and EHS Compliance service lines across multiple customer accounts with contract values ranging from approximately $0.13m to $1.41m."",""type"":""claim"",""unit"":null,""value"":null}"
claim:0039,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0039"",""locator"":""keystone_data_room_extract.md::section:w5750-6000:keystone_data_room_extract.md::section:w5750-6000 | Project ledger / data room table"",""statement"":""Riverton Industrial Group operates multiple service lines (RIV-CHEM, RIV-LOG, RIV-WST) across multiple contracts with repeat and project-based engagement types, as documented in project ledger data room records."",""type"":""claim"",""unit"":null,""value"":null}"
author:data_room_/_project_ledger,author,data room / project ledger,"{""id"":""author:data_room_/_project_ledger"",""label"":""data room / project ledger"",""type"":""author""}"
claim:0040,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0040"",""locator"":""keystone_data_room_extract.md::section:w5750-6000:keystone_data_room_extract.md::section:w5750-6000 | Project ledger table, payment terms column"",""statement"":""Riverton Industrial Group contracts carry payment terms of 30-60 days, as documented across all contract records (RIV-CHEM-P1, RIV-CHEM-P2, RIV-LOG-P1, RIV-LOG-P2, RIV-WST-P1) in the project ledger."",""type"":""claim"",""unit"":null,""value"":""30-60 days""}"
metric:contract_terms,metric,Contract Terms,"{""id"":""metric:contract_terms"",""label"":""Contract Terms"",""type"":""metric""}"
claim:0041,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0041"",""locator"":""keystone_data_room_extract.md::section:w9750-10000:Employee and Utilization Schedule - December 31, 2025; HRIS / KS-DL-1.2"",""statement"":""Employee roster as of December 31, 2025 shows at least 2 active billable employees (E0001, E0002) with recorded utilization rates of 62% and unspecified for E0002."",""type"":""claim"",""unit"":""headcount"",""value"":""2.0""}"
metric:headcount,metric,Headcount,"{""id"":""metric:headcount"",""label"":""Headcount"",""type"":""metric""}"
author:hris_system,author,HRIS system,"{""id"":""author:hris_system"",""label"":""HRIS system"",""type"":""author""}"
claim:0042,claim,,"{""deal"":""keystone"",""derivation"":""2025-02-01 minus 2016-02-01 = approximately 9 years"",""direction"":""supports"",""epistemic"":""derived"",""id"":""claim:0042"",""locator"":""keystone_data_room_extract.md::section:w9750-10000:Employee and Utilization Schedule - December 31, 2025; E0001 hire date"",""statement"":""Employee E0001 (Technical, Industrial Hygiene) was hired 2016-02-01, representing 9+ years tenure as of December 31, 2025."",""type"":""claim"",""unit"":""years"",""value"":""9.0""}"
metric:team_tenure,metric,Team Tenure,"{""id"":""metric:team_tenure"",""label"":""Team Tenure"",""type"":""metric""}"
claim:0043,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0043"",""locator"":""keystone_data_room_extract.md::section:w9750-10000:Project ledger / data room; SM-034-P1 and SM-035-P1 contract term columns"",""statement"":""Customer contracts SM-034-P1 (Cobalt Industries 2, Industrial Hygiene) and SM-035-P1 (Meridian Transit 2, Field Inspection) both have payment terms of 30-60 days per project ledger."",""type"":""claim"",""unit"":null,""value"":""30-60 days""}"
author:project_ledger,author,Project ledger,"{""id"":""author:project_ledger"",""label"":""Project ledger"",""type"":""author""}"
claim:0044,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0044"",""locator"":""keystone_data_room_extract.md::section:w10750-11000:keystone_data_room_extract.md::section:w10750-11000 — HRIS / KS-DL-1.2 table rows E0023–E0029"",""statement"":""HRIS extract (KS-DL-1.2) shows 7 active employees in data room snapshot covering regional staff with tenure from 2016 to 2022."",""type"":""claim"",""unit"":""headcount"",""value"":""7.0""}"
claim:0045,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0045"",""locator"":""keystone_data_room_extract.md::section:w10750-11000:keystone_data_room_extract.md::section:w10750-11000 — HRIS / KS-DL-1.2 hire_date column"",""statement"":""HRIS records show employees hired over span from December 2016 (E0023, Knoxville) through June 2022 (E0029, Chicago), indicating team formation across multiple acquisition cycles."",""type"":""claim"",""unit"":null,""value"":""2016–2022 range""}"
claim:0046,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0046"",""locator"":""keystone_data_room_extract.md::section:w11000-11250:keystone_data_room_extract.md::section:w11000-11250 — HRIS / KS-DL-1.2 staff roster"",""statement"":""Data room HRIS extract shows 8 employee records across multiple geographies and functions (Detroit, Louisville, Nashville, Raleigh, Charlotte, Cincinnati, Columbus) with tenures ranging from 2015 to 2025."",""type"":""claim"",""unit"":""headcount"",""value"":""763.0""}"
author:hris_system_extract,author,HRIS system extract,"{""id"":""author:hris_system_extract"",""label"":""HRIS system extract"",""type"":""author""}"
claim:0047,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0047"",""locator"":""keystone_data_room_extract.md::section:w10500-10750:keystone_data_room_extract.md::section:w10500-10750; HRIS / KS-DL-1.2 employee roster E0016–E0022"",""statement"":""Keystone headcount across E0016–E0022 staff records spans 7 employees across multiple regions and functions (Detroit, Louisville, Nashville, Raleigh, Charlotte, Cincinnati, Columbus) with hire dates ranging from 2015-11-01 to 2025-10-01."",""type"":""claim"",""unit"":""headcount"",""value"":""771.0""}"
entity:keystone_standalone,entity,Keystone standalone,"{""id"":""entity:keystone_standalone"",""label"":""Keystone standalone"",""type"":""entity""}"
perimeter:keystone_standalone,perimeter,Keystone standalone,"{""id"":""perimeter:keystone_standalone"",""label"":""Keystone standalone"",""type"":""perimeter""}"
author:data_room_(hris_system),author,Data room (HRIS system),"{""id"":""author:data_room_(hris_system)"",""label"":""Data room (HRIS system)"",""type"":""author""}"
claim:0048,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0048"",""locator"":""keystone_data_room_extract.md::section:w10500-10750:keystone_data_room_extract.md::section:w10500-10750; HRIS / KS-DL-1.2 hire date and engagement columns"",""statement"":""Keystone staff exhibit mixed tenure: one employee (E0022, Columbus, Technical/Field Inspection) hired 2015-11-01 (≈10 years); most others hired 2020–2025; two technical staff (E0020 Charlotte, E0021 Cincinnati) show high engagement metrics (0.75–0.82 utilization, 0.71–0.78 quality) and recent hire dates (2024–2025)."",""type"":""claim"",""unit"":null,""value"":null}"
claim:0049,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""supports"",""epistemic"":""observed"",""id"":""claim:0049"",""locator"":""keystone_data_room_extract.md::section:w10500-10750:keystone_data_room_extract.md::section:w10500-10750; HRIS / KS-DL-1.2 utilization and quality metrics for technical staff"",""statement"":""Keystone technical staff (E0020, E0021, E0022) show high engagement and quality metrics (utilization 0.05–0.59, quality 0.55–0.82) and are concentrated in high-value functions (EHS Compliance, Industrial Hygiene, Field Inspection); E0022 (Columbus) represents long tenure (10 years) in technical function, indicating potential key person dependency."",""type"":""claim"",""unit"":null,""value"":null}"
claim:0050,claim,,"{""deal"":""keystone"",""derivation"":null,""direction"":""context"",""epistemic"":""observed"",""id"":""claim:0050"",""locator"":""keystone_data_room_extract.md::section:w15000-15250:HRIS / KS-DL-1.2 | Data Room | Employees E0139–E0145"",""statement"":""HRIS extract KS-DL-1.2 lists 7 active employees across IT, Technical, Project Management, and Corporate functions in Midwest and Southeast regions as of 2025-11-15."",""type"":""claim"",""unit"":""headcount"",""value"":""7.0""}"
period:opening,period,OPENING,"{""id"":""period:opening"",""label"":""OPENING"",""type"":""period""}"
author:alderstone_hris_system,author,Alderstone HRIS system,"{""id"":""author:alderstone_hris_system"",""label"":""Alderstone HRIS system"",""type"":""author""}"
