id,type,label,data
claim:0006,claim,,"{""type"": ""claim"", ""value"": ""996.76"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia forecasts FY30E revenue of \u20ac996.76m."", ""locator"": ""Financial Analysis table, FY30E revenue row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0006""}"
period:fy30e,period,FY30E,"{""type"": ""period"", ""label"": ""FY30E"", ""id"": ""period:fy30e""}"
claim:0007,claim,,"{""type"": ""claim"", ""value"": ""21.01"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY24A COGS of \u20ac21.01m."", ""locator"": ""Financial Analysis table, FY24A COGS row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0007""}"
metric:cogs,metric,COGS,"{""type"": ""metric"", ""label"": ""COGS"", ""id"": ""metric:cogs""}"
perimeter:astrelia_consolidated_cost_of_goods_sold,perimeter,Astrelia consolidated cost of goods sold,"{""type"": ""perimeter"", ""label"": ""Astrelia consolidated cost of goods sold"", ""id"": ""perimeter:astrelia_consolidated_cost_of_goods_sold""}"
claim:0008,claim,,"{""type"": ""claim"", ""value"": ""24.54"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY25A COGS of \u20ac24.54m."", ""locator"": ""Financial Analysis table, FY25A COGS row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0008""}"
claim:0009,claim,,"{""type"": ""claim"", ""value"": ""17.23"", ""unit"": ""\u20acm"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY24A gross margin of \u20ac17.23m."", ""locator"": ""Financial Analysis table, FY24A gross margin row"", ""derivation"": ""Revenue \u20ac38.23m minus COGS \u20ac21.01m"", ""deal"": ""astrelia"", ""id"": ""claim:0009""}"
metric:gross_margin,metric,Gross Margin,"{""type"": ""metric"", ""label"": ""Gross Margin"", ""id"": ""metric:gross_margin""}"
perimeter:astrelia_consolidated_gross_margin,perimeter,Astrelia consolidated gross margin,"{""type"": ""perimeter"", ""label"": ""Astrelia consolidated gross margin"", ""id"": ""perimeter:astrelia_consolidated_gross_margin""}"
claim:0010,claim,,"{""type"": ""claim"", ""value"": ""37.52"", ""unit"": ""\u20acm"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY25A gross margin of \u20ac37.52m."", ""locator"": ""Financial Analysis table, FY25A gross margin row"", ""derivation"": ""Revenue \u20ac62.06m minus COGS \u20ac24.54m"", ""deal"": ""astrelia"", ""id"": ""claim:0010""}"
claim:0011,claim,,"{""type"": ""claim"", ""value"": ""45.06"", ""unit"": ""%"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia FY24A gross margin percentage was 45.06%."", ""locator"": ""Financial Analysis table, FY24A metrics"", ""derivation"": ""Gross margin \u20ac17.23m / Revenue \u20ac38.23m \u00d7 100"", ""deal"": ""astrelia"", ""id"": ""claim:0011""}"
metric:gross_margin_%,metric,Gross Margin %,"{""type"": ""metric"", ""label"": ""Gross Margin %"", ""id"": ""metric:gross_margin_%""}"
perimeter:astrelia_consolidated_gross_margin_percentage,perimeter,Astrelia consolidated gross margin percentage,"{""type"": ""perimeter"", ""label"": ""Astrelia consolidated gross margin percentage"", ""id"": ""perimeter:astrelia_consolidated_gross_margin_percentage""}"
claim:0012,claim,,"{""type"": ""claim"", ""value"": ""60.45"", ""unit"": ""%"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia FY25A gross margin percentage was 60.45%."", ""locator"": ""Financial Analysis table, FY25A metrics"", ""derivation"": ""Gross margin \u20ac37.52m / Revenue \u20ac62.06m \u00d7 100"", ""deal"": ""astrelia"", ""id"": ""claim:0012""}"
claim:0013,claim,,"{""type"": ""claim"", ""value"": ""1.4"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY24A EBITDA of \u20ac1.4m."", ""locator"": ""Financial Analysis table, FY24A EBITDA row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0013""}"
metric:ebitda,metric,EBITDA,"{""type"": ""metric"", ""label"": ""EBITDA"", ""id"": ""metric:ebitda""}"
perimeter:astrelia_consolidated_ebitda,perimeter,Astrelia consolidated EBITDA,"{""type"": ""perimeter"", ""label"": ""Astrelia consolidated EBITDA"", ""id"": ""perimeter:astrelia_consolidated_ebitda""}"
claim:0014,claim,,"{""type"": ""claim"", ""value"": ""16.19"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY25A EBITDA of \u20ac16.19m."", ""locator"": ""Financial Analysis table, FY25A EBITDA row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0014""}"
claim:0015,claim,,"{""type"": ""claim"", ""value"": ""19.98"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia forecasts FY26E EBITDA of \u20ac19.98m."", ""locator"": ""Financial Analysis table, FY26E EBITDA row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0015""}"
"perimeter:astrelia_consolidated_ebitda,_management_forecast",perimeter,"Astrelia consolidated EBITDA, management forecast","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated EBITDA, management forecast"", ""id"": ""perimeter:astrelia_consolidated_ebitda,_management_forecast""}"
claim:0016,claim,,"{""type"": ""claim"", ""value"": ""45.06"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia forecasts FY27E EBITDA of \u20ac45.06m."", ""locator"": ""Financial Analysis table, FY27E EBITDA row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0016""}"
claim:0017,claim,,"{""type"": ""claim"", ""value"": ""100.62"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia forecasts FY28E EBITDA of \u20ac100.62m."", ""locator"": ""Financial Analysis table, FY28E EBITDA row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0017""}"
claim:0018,claim,,"{""type"": ""claim"", ""value"": ""190.28"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia forecasts FY29E EBITDA of \u20ac190.28m."", ""locator"": ""Financial Analysis table, FY29E EBITDA row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0018""}"
claim:0019,claim,,"{""type"": ""claim"", ""value"": ""323.94"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia forecasts FY30E EBITDA of \u20ac323.94m."", ""locator"": ""Financial Analysis table, FY30E EBITDA row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0019""}"
claim:0020,claim,,"{""type"": ""claim"", ""value"": ""3.66"", ""unit"": ""%"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia FY24A EBITDA margin was 3.66%."", ""locator"": ""Financial Analysis table, FY24A metrics"", ""derivation"": ""EBITDA \u20ac1.4m / Revenue \u20ac38.23m \u00d7 100"", ""deal"": ""astrelia"", ""id"": ""claim:0020""}"
metric:ebitda_margin_%,metric,EBITDA Margin %,"{""type"": ""metric"", ""label"": ""EBITDA Margin %"", ""id"": ""metric:ebitda_margin_%""}"
perimeter:astrelia_consolidated_ebitda_margin_percentage,perimeter,Astrelia consolidated EBITDA margin percentage,"{""type"": ""perimeter"", ""label"": ""Astrelia consolidated EBITDA margin percentage"", ""id"": ""perimeter:astrelia_consolidated_ebitda_margin_percentage""}"
claim:0021,claim,,"{""type"": ""claim"", ""value"": ""26.07"", ""unit"": ""%"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia FY25A EBITDA margin was 26.07%."", ""locator"": ""Financial Analysis table, FY25A metrics"", ""derivation"": ""EBITDA \u20ac16.19m / Revenue \u20ac62.06m \u00d7 100"", ""deal"": ""astrelia"", ""id"": ""claim:0021""}"
claim:0022,claim,,"{""type"": ""claim"", ""value"": ""17.28"", ""unit"": ""%"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia FY26E forecast EBITDA margin is 17.28%."", ""locator"": ""Financial Analysis table, FY26E metrics"", ""derivation"": ""EBITDA \u20ac19.98m / Revenue \u20ac115.57m \u00d7 100"", ""deal"": ""astrelia"", ""id"": ""claim:0022""}"
"perimeter:astrelia_consolidated_ebitda_margin_percentage,_management_forecast",perimeter,"Astrelia consolidated EBITDA margin percentage, management forecast","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated EBITDA margin percentage, management forecast"", ""id"": ""perimeter:astrelia_consolidated_ebitda_margin_percentage,_management_forecast""}"
claim:0023,claim,,"{""type"": ""claim"", ""value"": ""21.25"", ""unit"": ""%"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia FY27E forecast EBITDA margin is 21.25%."", ""locator"": ""Financial Analysis table, FY27E metrics"", ""derivation"": ""EBITDA \u20ac45.06m / Revenue \u20ac212m \u00d7 100"", ""deal"": ""astrelia"", ""id"": ""claim:0023""}"
claim:0024,claim,,"{""type"": ""claim"", ""value"": ""26.11"", ""unit"": ""%"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia FY28E forecast EBITDA margin is 26.11%."", ""locator"": ""Financial Analysis table, FY28E metrics"", ""derivation"": ""EBITDA \u20ac100.62m / Revenue \u20ac385.6m \u00d7 100"", ""deal"": ""astrelia"", ""id"": ""claim:0024""}"
claim:0025,claim,,"{""type"": ""claim"", ""value"": ""30.11"", ""unit"": ""%"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia FY29E forecast EBITDA margin is 30.11%."", ""locator"": ""Financial Analysis table, FY29E metrics"", ""derivation"": ""EBITDA \u20ac190.28m / Revenue \u20ac631.72m \u00d7 100"", ""deal"": ""astrelia"", ""id"": ""claim:0025""}"
claim:0026,claim,,"{""type"": ""claim"", ""value"": ""32.50"", ""unit"": ""%"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia FY30E forecast EBITDA margin is 32.50%."", ""locator"": ""Financial Analysis table, FY30E metrics"", ""derivation"": ""EBITDA \u20ac323.94m / Revenue \u20ac996.76m \u00d7 100"", ""deal"": ""astrelia"", ""id"": ""claim:0026""}"
claim:0027,claim,,"{""type"": ""claim"", ""value"": ""-0.05"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY24A EBIT of \u20ac-0.05m."", ""locator"": ""Financial Analysis table, FY24A EBIT row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0027""}"
metric:ebit,metric,EBIT,"{""type"": ""metric"", ""label"": ""EBIT"", ""id"": ""metric:ebit""}"
perimeter:astrelia_consolidated_ebit,perimeter,Astrelia consolidated EBIT,"{""type"": ""perimeter"", ""label"": ""Astrelia consolidated EBIT"", ""id"": ""perimeter:astrelia_consolidated_ebit""}"
claim:0028,claim,,"{""type"": ""claim"", ""value"": ""12.34"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY25A EBIT of \u20ac12.34m."", ""locator"": ""Financial Analysis table, FY25A EBIT row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0028""}"
claim:0029,claim,,"{""type"": ""claim"", ""value"": ""62.47"", ""unit"": ""%"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia management forecasts revenue CAGR of 62.47% from FY25A (\u20ac62.06m) to FY30E (\u20ac996.76m)."", ""locator"": ""Financial Analysis table, FY25A\u2013FY30E revenue projection"", ""derivation"": ""((FY30E Revenue / FY25A Revenue) ^ (1 / 5) - 1) \u00d7 100 = ((996.76 / 62.06) ^ 0.2 - 1) \u00d7 100"", ""deal"": ""astrelia"", ""id"": ""claim:0029""}"
metric:revenue_cagr,metric,Revenue CAGR,"{""type"": ""metric"", ""label"": ""Revenue CAGR"", ""id"": ""metric:revenue_cagr""}"
period:fy25a–fy30e,period,FY25A–FY30E,"{""type"": ""period"", ""label"": ""FY25A\u2013FY30E"", ""id"": ""period:fy25a\u2013fy30e""}"
"perimeter:astrelia_consolidated_revenue,_management_forecast_cagr",perimeter,"Astrelia consolidated revenue, management forecast CAGR","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated revenue, management forecast CAGR"", ""id"": ""perimeter:astrelia_consolidated_revenue,_management_forecast_cagr""}"
claim:0030,claim,,"{""type"": ""claim"", ""value"": ""16"", ""unit"": ""x"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Astrelia Base Case forecast projects revenue growth of 16\u00d7 from FY25A to FY30E."", ""locator"": ""Plan scenarios, Base Case"", ""derivation"": ""FY30E Revenue \u20ac996.76m / FY25A Revenue \u20ac62.06m = 16.05x"", ""deal"": ""astrelia"", ""id"": ""claim:0030""}"
metric:revenue_growth,metric,Revenue Growth,"{""type"": ""metric"", ""label"": ""Revenue Growth"", ""id"": ""metric:revenue_growth""}"
"perimeter:astrelia_consolidated_revenue_multiple_growth,_management_forecast",perimeter,"Astrelia consolidated revenue multiple growth, management forecast","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated revenue multiple growth, management forecast"", ""id"": ""perimeter:astrelia_consolidated_revenue_multiple_growth,_management_forecast""}"
claim:0031,claim,,"{""type"": ""claim"", ""value"": ""20"", ""unit"": ""x"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia Bull Case forecast projects revenue growth of ~20\u00d7 from FY25A to FY30E."", ""locator"": ""Plan scenarios, Bull Case"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0031""}"
claim:0032,claim,,"{""type"": ""claim"", ""value"": ""10"", ""unit"": ""x"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia Bear Case forecast projects revenue growth of ~10\u00d7 from FY25A to FY30E."", ""locator"": ""Plan scenarios, Bear Case"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0032""}"
claim:0033,claim,,"{""type"": ""claim"", ""value"": ""288"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia Base Case forecast projects FY30E EBITDA of \u20ac288m (31% margin)."", ""locator"": ""Plan scenarios, Base Case"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0033""}"
metric:ebitda_base_case,metric,EBITDA Base Case,"{""type"": ""metric"", ""label"": ""EBITDA Base Case"", ""id"": ""metric:ebitda_base_case""}"
"perimeter:astrelia_consolidated_ebitda,_management_base_case_forecast",perimeter,"Astrelia consolidated EBITDA, management Base Case forecast","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated EBITDA, management Base Case forecast"", ""id"": ""perimeter:astrelia_consolidated_ebitda,_management_base_case_forecast""}"
claim:0034,claim,,"{""type"": ""claim"", ""value"": ""31"", ""unit"": ""%"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia Base Case forecast projects FY30E EBITDA margin of 31%."", ""locator"": ""Plan scenarios, Base Case"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0034""}"
metric:ebitda_margin_base_case,metric,EBITDA Margin Base Case,"{""type"": ""metric"", ""label"": ""EBITDA Margin Base Case"", ""id"": ""metric:ebitda_margin_base_case""}"
"perimeter:astrelia_consolidated_ebitda_margin,_management_base_case_forecast",perimeter,"Astrelia consolidated EBITDA margin, management Base Case forecast","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated EBITDA margin, management Base Case forecast"", ""id"": ""perimeter:astrelia_consolidated_ebitda_margin,_management_base_case_forecast""}"
claim:0035,claim,,"{""type"": ""claim"", ""value"": ""1154"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia Bull Case forecast projects FY30E revenue of \u20ac1,154m."", ""locator"": ""Plan scenarios, Bull Case"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0035""}"
metric:revenue_bull_case,metric,Revenue Bull Case,"{""type"": ""metric"", ""label"": ""Revenue Bull Case"", ""id"": ""metric:revenue_bull_case""}"
"perimeter:astrelia_consolidated_revenue,_management_bull_case_forecast",perimeter,"Astrelia consolidated revenue, management Bull Case forecast","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated revenue, management Bull Case forecast"", ""id"": ""perimeter:astrelia_consolidated_revenue,_management_bull_case_forecast""}"
claim:0036,claim,,"{""type"": ""claim"", ""value"": ""381"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia Bull Case forecast projects FY30E EBITDA of \u20ac381m (33% margin)."", ""locator"": ""Plan scenarios, Bull Case"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0036""}"
metric:ebitda_bull_case,metric,EBITDA Bull Case,"{""type"": ""metric"", ""label"": ""EBITDA Bull Case"", ""id"": ""metric:ebitda_bull_case""}"
"perimeter:astrelia_consolidated_ebitda,_management_bull_case_forecast",perimeter,"Astrelia consolidated EBITDA, management Bull Case forecast","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated EBITDA, management Bull Case forecast"", ""id"": ""perimeter:astrelia_consolidated_ebitda,_management_bull_case_forecast""}"
claim:0037,claim,,"{""type"": ""claim"", ""value"": ""33"", ""unit"": ""%"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia Bull Case forecast projects FY30E EBITDA margin of 33%."", ""locator"": ""Plan scenarios, Bull Case"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0037""}"
metric:ebitda_margin_bull_case,metric,EBITDA Margin Bull Case,"{""type"": ""metric"", ""label"": ""EBITDA Margin Bull Case"", ""id"": ""metric:ebitda_margin_bull_case""}"
"perimeter:astrelia_consolidated_ebitda_margin,_management_bull_case_forecast",perimeter,"Astrelia consolidated EBITDA margin, management Bull Case forecast","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated EBITDA margin, management Bull Case forecast"", ""id"": ""perimeter:astrelia_consolidated_ebitda_margin,_management_bull_case_forecast""}"
claim:0038,claim,,"{""type"": ""claim"", ""value"": ""554"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia Bear Case forecast projects FY30E revenue of \u20ac554m."", ""locator"": ""Plan scenarios, Bear Case"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0038""}"
metric:revenue_bear_case,metric,Revenue Bear Case,"{""type"": ""metric"", ""label"": ""Revenue Bear Case"", ""id"": ""metric:revenue_bear_case""}"
"perimeter:astrelia_consolidated_revenue,_management_bear_case_forecast",perimeter,"Astrelia consolidated revenue, management Bear Case forecast","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated revenue, management Bear Case forecast"", ""id"": ""perimeter:astrelia_consolidated_revenue,_management_bear_case_forecast""}"
claim:0039,claim,,"{""type"": ""claim"", ""value"": ""138"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia Bear Case forecast projects FY30E EBITDA of \u20ac138m (25% margin)."", ""locator"": ""Plan scenarios, Bear Case"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0039""}"
metric:ebitda_bear_case,metric,EBITDA Bear Case,"{""type"": ""metric"", ""label"": ""EBITDA Bear Case"", ""id"": ""metric:ebitda_bear_case""}"
"perimeter:astrelia_consolidated_ebitda,_management_bear_case_forecast",perimeter,"Astrelia consolidated EBITDA, management Bear Case forecast","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated EBITDA, management Bear Case forecast"", ""id"": ""perimeter:astrelia_consolidated_ebitda,_management_bear_case_forecast""}"
claim:0040,claim,,"{""type"": ""claim"", ""value"": ""25"", ""unit"": ""%"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia Bear Case forecast projects FY30E EBITDA margin of 25%."", ""locator"": ""Plan scenarios, Bear Case"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0040""}"
metric:ebitda_margin_bear_case,metric,EBITDA Margin Bear Case,"{""type"": ""metric"", ""label"": ""EBITDA Margin Bear Case"", ""id"": ""metric:ebitda_margin_bear_case""}"
"perimeter:astrelia_consolidated_ebitda_margin,_management_bear_case_forecast",perimeter,"Astrelia consolidated EBITDA margin, management Bear Case forecast","{""type"": ""perimeter"", ""label"": ""Astrelia consolidated EBITDA margin, management Bear Case forecast"", ""id"": ""perimeter:astrelia_consolidated_ebitda_margin,_management_bear_case_forecast""}"
claim:0041,claim,,"{""type"": ""claim"", ""value"": ""5.36"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY24A direct personnel costs of \u20ac5.36m."", ""locator"": ""Financial Analysis table, FY24A direct personnel row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0041""}"
metric:direct_personnel_costs,metric,Direct Personnel Costs,"{""type"": ""metric"", ""label"": ""Direct Personnel Costs"", ""id"": ""metric:direct_personnel_costs""}"
perimeter:astrelia_consolidated_direct_personnel_costs,perimeter,Astrelia consolidated direct personnel costs,"{""type"": ""perimeter"", ""label"": ""Astrelia consolidated direct personnel costs"", ""id"": ""perimeter:astrelia_consolidated_direct_personnel_costs""}"
area:operations,area,Operations,"{""type"": ""area"", ""label"": ""Operations"", ""id"": ""area:operations""}"
claim:0042,claim,,"{""type"": ""claim"", ""value"": ""8.83"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY25A direct personnel costs of \u20ac8.83m."", ""locator"": ""Financial Analysis table, FY25A direct personnel row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0042""}"
claim:0043,claim,,"{""type"": ""claim"", ""value"": ""5.36"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY24A indirect personnel costs of \u20ac5.36m."", ""locator"": ""Financial Analysis table, FY24A indirect personnel row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0043""}"
metric:indirect_personnel_costs,metric,Indirect Personnel Costs,"{""type"": ""metric"", ""label"": ""Indirect Personnel Costs"", ""id"": ""metric:indirect_personnel_costs""}"
perimeter:astrelia_consolidated_indirect_personnel_costs,perimeter,Astrelia consolidated indirect personnel costs,"{""type"": ""perimeter"", ""label"": ""Astrelia consolidated indirect personnel costs"", ""id"": ""perimeter:astrelia_consolidated_indirect_personnel_costs""}"
claim:0044,claim,,"{""type"": ""claim"", ""value"": ""4.28"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY25A indirect personnel costs of \u20ac4.28m."", ""locator"": ""Financial Analysis table, FY25A indirect personnel row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0044""}"
claim:0045,claim,,"{""type"": ""claim"", ""value"": ""1.24"", ""unit"": ""\u20acm"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""Astrelia reported FY24A overhead charged of \u20ac1.24m."", ""locator"": ""Financial Analysis table, FY24A overhead charged row"", ""derivation"": null, ""deal"": ""astrelia"", ""id"": ""claim:0045""}"
metric:overhead_charged,metric,Overhead Charged,"{""type"": ""metric"", ""label"": ""Overhead Charged"", ""id"": ""metric:overhead_charged""}"
perimeter:astrelia_consolidated_overhead_charged,perimeter,Astrelia consolidated overhead charged,"{""type"": ""perimeter"", ""label"": ""Astrelia consolidated overhead charged"", ""id"": ""perimeter:astrelia_consolidated_overhead_charged""}"
