screen_number,file,title,surface_class,purpose,release,origin,synthetic
34,03_SCREEN_ATLAS/06_BLOCKED_ERROR_AND_MODE_STATES/34_Empty_System.png,Empty System,Mode / Blocked / Error State,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
35,03_SCREEN_ATLAS/06_BLOCKED_ERROR_AND_MODE_STATES/35_Mode_Chooser.png,Mode Chooser,Mode / Blocked / Error State,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
36,03_SCREEN_ATLAS/06_BLOCKED_ERROR_AND_MODE_STATES/36_Connected_Error.png,Connected Error,Mode / Blocked / Error State,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
37,03_SCREEN_ATLAS/06_BLOCKED_ERROR_AND_MODE_STATES/37_Offline_Read_Only.png,Offline Read Only,Mode / Blocked / Error State,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
38,03_SCREEN_ATLAS/06_BLOCKED_ERROR_AND_MODE_STATES/38_Orion_Generalization.png,Orion Generalization,Mode / Blocked / Error State,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
39,03_SCREEN_ATLAS/06_BLOCKED_ERROR_AND_MODE_STATES/39_Mobile_Read_Only.png,Mobile Read Only,Mode / Blocked / Error State,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
40,03_SCREEN_ATLAS/06_BLOCKED_ERROR_AND_MODE_STATES/40_Claims_Filtered_AsOf.png,Claims Filtered AsOf,Mode / Blocked / Error State,Inherited V19/V19.B core surface retained by V20 without a room-architecture redesign.,V20,V19/V19.B inherited core,True
41,03_SCREEN_ATLAS/07_V20_VENTURE_EXTENSION/v20_01_deal_command.png,Deal Command - Venture Archetype,Persistent room,"Hierarchical venture grammar, governed Lens and decomposed decision criticality.",V20,V20 venture extension,True
42,03_SCREEN_ATLAS/07_V20_VENTURE_EXTENSION/v20_02_interactions.png,Sources - Native Interactions,Persistent room,Speaker-level interaction and utterance provenance.,V20,V20 venture extension,True
43,03_SCREEN_ATLAS/07_V20_VENTURE_EXTENSION/v20_03_utterance_aperture.png,Object Aperture - Utterance,Contextual overlay,Separates observed speech act from asserted content.,V20,V20 venture extension,True
44,03_SCREEN_ATLAS/07_V20_VENTURE_EXTENSION/v20_04_compiler_review.png,Compiler Review - Venture Proposals,Persistent room,"Candidate discrepancies, deterministic derivations, AI hypotheses and spine change.",V20,V20 venture extension,True
45,03_SCREEN_ATLAS/07_V20_VENTURE_EXTENSION/v20_05_validation_conditions.png,Foundations - Validation Envelopes,Persistent room,Target/environment/configuration coverage and explicit condition edges.,V20,V20 venture extension,True
46,03_SCREEN_ATLAS/07_V20_VENTURE_EXTENSION/v20_06_unknowns_missions.png,Unknowns - Governed Missions,Persistent room,Mission authority classes and closure-value decomposition.,V20,V20 venture extension,True
47,03_SCREEN_ATLAS/07_V20_VENTURE_EXTENSION/v20_07_venture_financing.png,Scenario Lab - Venture Financing,Persistent room,"Round, cap table, dilution, milestones and reserve.",V20,V20 venture extension,True
48,03_SCREEN_ATLAS/07_V20_VENTURE_EXTENSION/v20_08_replay.png,Causal Replay - Venture Case,Persistent room,Event-derived bitemporal replay.,V20,V20 venture extension,True
49,03_SCREEN_ATLAS/07_V20_VENTURE_EXTENSION/v20_09_human_stop.png,Change Impact - Human Stop,Transient workflow,Technical discrepancy requires scoped authority.,V20,V20 venture extension,True
50,03_SCREEN_ATLAS/07_V20_VENTURE_EXTENSION/v20_10_blocked_component.png,Change Impact - Blocked Component,Transient workflow,Maintenance economics remain honestly blocked.,V20,V20 venture extension,True
51,03_SCREEN_ATLAS/07_V20_VENTURE_EXTENSION/v20_11_mobile_read_review.png,Mobile Read/Review,Responsive state,Sub-768 venture review mode without compressed authority controls.,V20,V20 venture extension,True
