id,type,label,data
claim:0004,claim,,"{""type"": ""claim"", ""value"": ""0.25"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""Transaction-readiness and professional-fee adjustment of $0.25m excludes recurring audit and compliance support."", ""locator"": ""Normalized EBITDA schedule"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0004""}"
metric:ebitda_adjustment_-_transaction-readiness_and_professional_fees,metric,EBITDA Adjustment - Transaction-Readiness and Professional Fees,"{""type"": ""metric"", ""label"": ""EBITDA Adjustment - Transaction-Readiness and Professional Fees"", ""id"": ""metric:ebitda_adjustment_-_transaction-readiness_and_professional_fees""}"
claim:0005,claim,,"{""type"": ""claim"", ""value"": ""0.30"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""Integration and systems costs of $0.30m were accepted only for identifiable non-recurring items; $0.10m recurring cost retained by firm."", ""locator"": ""Normalized EBITDA schedule"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0005""}"
metric:ebitda_adjustment_-_integration_and_systems_costs,metric,EBITDA Adjustment - Integration and Systems Costs,"{""type"": ""metric"", ""label"": ""EBITDA Adjustment - Integration and Systems Costs"", ""id"": ""metric:ebitda_adjustment_-_integration_and_systems_costs""}"
"perimeter:alderstone_normalized_ebitda_add-back,_non-recurring_only",perimeter,"Alderstone normalized EBITDA add-back, non-recurring only","{""type"": ""perimeter"", ""label"": ""Alderstone normalized EBITDA add-back, non-recurring only"", ""id"": ""perimeter:alderstone_normalized_ebitda_add-back,_non-recurring_only""}"
claim:0006,claim,,"{""type"": ""claim"", ""value"": ""0.20"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""Legal and settlement expense of $0.20m was supported as a non-recurring item."", ""locator"": ""Normalized EBITDA schedule"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0006""}"
metric:ebitda_adjustment_-_legal_and_settlement_expense,metric,EBITDA Adjustment - Legal and Settlement Expense,"{""type"": ""metric"", ""label"": ""EBITDA Adjustment - Legal and Settlement Expense"", ""id"": ""metric:ebitda_adjustment_-_legal_and_settlement_expense""}"
claim:0007,claim,,"{""type"": ""claim"", ""value"": ""0.15"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""Duplicate occupancy and facility move costs of $0.15m represent an implemented closure."", ""locator"": ""Normalized EBITDA schedule"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0007""}"
metric:ebitda_adjustment_-_duplicate_occupancy_and_facility_move,metric,EBITDA Adjustment - Duplicate Occupancy and Facility Move,"{""type"": ""metric"", ""label"": ""EBITDA Adjustment - Duplicate Occupancy and Facility Move"", ""id"": ""metric:ebitda_adjustment_-_duplicate_occupancy_and_facility_move""}"
claim:0008,claim,,"{""type"": ""claim"", ""value"": ""0.25"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""Implemented headcount savings of $0.25m are additional covenant-certified savings."", ""locator"": ""Normalized EBITDA schedule"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0008""}"
metric:ebitda_adjustment_-_implemented_headcount_savings,metric,EBITDA Adjustment - Implemented Headcount Savings,"{""type"": ""metric"", ""label"": ""EBITDA Adjustment - Implemented Headcount Savings"", ""id"": ""metric:ebitda_adjustment_-_implemented_headcount_savings""}"
claim:0009,claim,,"{""type"": ""claim"", ""value"": ""0.0"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""contradicts"", ""statement"": ""Pricing and utilization initiatives were not accepted as historical earnings adjustments because they represent forecast only."", ""locator"": ""Normalized EBITDA schedule"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0009""}"
metric:ebitda_adjustment_-_pricing_and_utilization_initiatives,metric,EBITDA Adjustment - Pricing and Utilization Initiatives,"{""type"": ""metric"", ""label"": ""EBITDA Adjustment - Pricing and Utilization Initiatives"", ""id"": ""metric:ebitda_adjustment_-_pricing_and_utilization_initiatives""}"
claim:0010,claim,,"{""type"": ""claim"", ""value"": ""-0.10"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""contradicts"", ""statement"": ""Revenue cut-off correction of $0.10m negative adjustment reduced normalized EBITDA due to QoE finding."", ""locator"": ""Normalized EBITDA schedule"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0010""}"
metric:ebitda_adjustment_-_revenue_cut-off,metric,EBITDA Adjustment - Revenue Cut-Off,"{""type"": ""metric"", ""label"": ""EBITDA Adjustment - Revenue Cut-Off"", ""id"": ""metric:ebitda_adjustment_-_revenue_cut-off""}"
perimeter:alderstone_normalized_ebitda_correction,perimeter,Alderstone normalized EBITDA correction,"{""type"": ""perimeter"", ""label"": ""Alderstone normalized EBITDA correction"", ""id"": ""perimeter:alderstone_normalized_ebitda_correction""}"
claim:0011,claim,,"{""type"": ""claim"", ""value"": ""0.20"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""Bonus accrual normalization of $0.20m was supported by the approved plan and subsequent reversal."", ""locator"": ""Normalized EBITDA schedule"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0011""}"
metric:ebitda_adjustment_-_bonus_accrual_normalization,metric,EBITDA Adjustment - Bonus Accrual Normalization,"{""type"": ""metric"", ""label"": ""EBITDA Adjustment - Bonus Accrual Normalization"", ""id"": ""metric:ebitda_adjustment_-_bonus_accrual_normalization""}"
claim:0012,claim,,"{""type"": ""claim"", ""value"": ""0.10"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""supports"", ""statement"": ""Related-party rent of $0.10m was normalized to market terms and not recognized in covenant definition."", ""locator"": ""Normalized EBITDA schedule"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0012""}"
metric:ebitda_adjustment_-_related-party_rent_normalization,metric,EBITDA Adjustment - Related-Party Rent Normalization,"{""type"": ""metric"", ""label"": ""EBITDA Adjustment - Related-Party Rent Normalization"", ""id"": ""metric:ebitda_adjustment_-_related-party_rent_normalization""}"
claim:0013,claim,,"{""type"": ""claim"", ""value"": ""7.7"", ""unit"": ""$m"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""The seller proposed a normalized operating working capital target of $7.7m."", ""locator"": ""Working-capital findings"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0013""}"
metric:working_capital_-_seller_proposed_target,metric,Working Capital - Seller Proposed Target,"{""type"": ""metric"", ""label"": ""Working Capital - Seller Proposed Target"", ""id"": ""metric:working_capital_-_seller_proposed_target""}"
"perimeter:alderstone_operating_working_capital,_seller_proposal",perimeter,"Alderstone operating working capital, seller proposal","{""type"": ""perimeter"", ""label"": ""Alderstone operating working capital, seller proposal"", ""id"": ""perimeter:alderstone_operating_working_capital,_seller_proposal""}"
author:seller,author,Seller,"{""type"": ""author"", ""label"": ""Seller"", ""id"": ""author:seller""}"
claim:0014,claim,,"{""type"": ""claim"", ""value"": ""8.4"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""contradicts"", ""statement"": ""QoE-normalized operating working capital is $8.4m, exceeding the seller-proposed target of $7.7m."", ""locator"": ""Working-capital findings"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0014""}"
metric:working_capital_-_normalized,metric,Working Capital - Normalized,"{""type"": ""metric"", ""label"": ""Working Capital - Normalized"", ""id"": ""metric:working_capital_-_normalized""}"
"perimeter:alderstone_operating_working_capital,_qoe-normalized",perimeter,"Alderstone operating working capital, QoE-normalized","{""type"": ""perimeter"", ""label"": ""Alderstone operating working capital, QoE-normalized"", ""id"": ""perimeter:alderstone_operating_working_capital,_qoe-normalized""}"
claim:0015,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The working capital difference of $0.7m reflects seasonal payroll accruals, aged unbilled WIP, acquired-branch billing delays, deferred-revenue normalization and month-end timing."", ""locator"": ""Working-capital findings"", ""derivation"": ""WC difference = $8.4m normalized \u2212 $7.7m seller target = $0.7m variance"", ""deal"": ""keystone"", ""id"": ""claim:0015""}"
metric:working_capital_variance_analysis,metric,Working Capital Variance Analysis,"{""type"": ""metric"", ""label"": ""Working Capital Variance Analysis"", ""id"": ""metric:working_capital_variance_analysis""}"
perimeter:alderstone_working_capital_composition,perimeter,Alderstone working capital composition,"{""type"": ""perimeter"", ""label"": ""Alderstone working capital composition"", ""id"": ""perimeter:alderstone_working_capital_composition""}"
claim:0016,claim,,"{""type"": ""claim"", ""value"": ""8.60"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Existing bank term loan outstanding is $8.60m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0016""}"
metric:debt_-_existing_bank_term_loan,metric,Debt - Existing Bank Term Loan,"{""type"": ""metric"", ""label"": ""Debt - Existing Bank Term Loan"", ""id"": ""metric:debt_-_existing_bank_term_loan""}"
perimeter:alderstone_funded_debt,perimeter,Alderstone funded debt,"{""type"": ""perimeter"", ""label"": ""Alderstone funded debt"", ""id"": ""perimeter:alderstone_funded_debt""}"
area:structure,area,Structure,"{""type"": ""area"", ""label"": ""Structure"", ""id"": ""area:structure""}"
claim:0017,claim,,"{""type"": ""claim"", ""value"": ""1.50"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Existing revolver outstanding is $1.50m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0017""}"
metric:debt_-_existing_revolver,metric,Debt - Existing Revolver,"{""type"": ""metric"", ""label"": ""Debt - Existing Revolver"", ""id"": ""metric:debt_-_existing_revolver""}"
claim:0018,claim,,"{""type"": ""claim"", ""value"": ""0.10"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Accrued interest on existing debt is $0.10m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0018""}"
metric:debt_-_accrued_interest,metric,Debt - Accrued Interest,"{""type"": ""metric"", ""label"": ""Debt - Accrued Interest"", ""id"": ""metric:debt_-_accrued_interest""}"
claim:0019,claim,,"{""type"": ""claim"", ""value"": ""0.55"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Finance-lease obligations outstanding are $0.55m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0019""}"
metric:debt_-_finance-lease_obligations,metric,Debt - Finance-Lease Obligations,"{""type"": ""metric"", ""label"": ""Debt - Finance-Lease Obligations"", ""id"": ""metric:debt_-_finance-lease_obligations""}"
claim:0020,claim,,"{""type"": ""claim"", ""value"": ""10.75"", ""unit"": ""$m"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Total funded debt subtotal is $10.75m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": ""Term loan $8.60m + Revolver $1.50m + Accrued interest $0.10m + Finance leases $0.55m = $10.75m"", ""deal"": ""keystone"", ""id"": ""claim:0020""}"
metric:funded_debt,metric,Funded Debt,"{""type"": ""metric"", ""label"": ""Funded Debt"", ""id"": ""metric:funded_debt""}"
perimeter:alderstone_total_funded_debt,perimeter,Alderstone total funded debt,"{""type"": ""perimeter"", ""label"": ""Alderstone total funded debt"", ""id"": ""perimeter:alderstone_total_funded_debt""}"
claim:0021,claim,,"{""type"": ""claim"", ""value"": ""1.10"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Deferred acquisition consideration is $1.10m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0021""}"
metric:debt-like_items_-_deferred_acquisition_consideration,metric,Debt-Like Items - Deferred Acquisition Consideration,"{""type"": ""metric"", ""label"": ""Debt-Like Items - Deferred Acquisition Consideration"", ""id"": ""metric:debt-like_items_-_deferred_acquisition_consideration""}"
perimeter:alderstone_debt-like_liabilities,perimeter,Alderstone debt-like liabilities,"{""type"": ""perimeter"", ""label"": ""Alderstone debt-like liabilities"", ""id"": ""perimeter:alderstone_debt-like_liabilities""}"
claim:0022,claim,,"{""type"": ""claim"", ""value"": ""0.85"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Transaction bonuses and payroll taxes liability is $0.85m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0022""}"
metric:debt-like_items_-_transaction_bonuses_and_payroll_taxes,metric,Debt-Like Items - Transaction Bonuses and Payroll Taxes,"{""type"": ""metric"", ""label"": ""Debt-Like Items - Transaction Bonuses and Payroll Taxes"", ""id"": ""metric:debt-like_items_-_transaction_bonuses_and_payroll_taxes""}"
claim:0023,claim,,"{""type"": ""claim"", ""value"": ""0.90"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Unpaid seller transaction expenses liability is $0.90m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0023""}"
metric:debt-like_items_-_unpaid_seller_transaction_expenses,metric,Debt-Like Items - Unpaid Seller Transaction Expenses,"{""type"": ""metric"", ""label"": ""Debt-Like Items - Unpaid Seller Transaction Expenses"", ""id"": ""metric:debt-like_items_-_unpaid_seller_transaction_expenses""}"
claim:0024,claim,,"{""type"": ""claim"", ""value"": ""0.55"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Pre-closing income and payroll taxes liability is $0.55m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0024""}"
metric:debt-like_items_-_pre-closing_income_and_payroll_taxes,metric,Debt-Like Items - Pre-Closing Income and Payroll Taxes,"{""type"": ""metric"", ""label"": ""Debt-Like Items - Pre-Closing Income and Payroll Taxes"", ""id"": ""metric:debt-like_items_-_pre-closing_income_and_payroll_taxes""}"
claim:0025,claim,,"{""type"": ""claim"", ""value"": ""0.25"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Insurance and legal-tail liabilities are $0.25m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0025""}"
metric:debt-like_items_-_insurance_and_legal-tail_liabilities,metric,Debt-Like Items - Insurance and Legal-Tail Liabilities,"{""type"": ""metric"", ""label"": ""Debt-Like Items - Insurance and Legal-Tail Liabilities"", ""id"": ""metric:debt-like_items_-_insurance_and_legal-tail_liabilities""}"
claim:0026,claim,,"{""type"": ""claim"", ""value"": ""3.65"", ""unit"": ""$m"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Total debt-like items subtotal is $3.65m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": ""Deferred acquisition $1.10m + Transaction bonuses $0.85m + Unpaid expenses $0.90m + Pre-closing taxes $0.55m + Insurance/legal $0.25m = $3.65m"", ""deal"": ""keystone"", ""id"": ""claim:0026""}"
metric:debt-like_items_total,metric,Debt-Like Items Total,"{""type"": ""metric"", ""label"": ""Debt-Like Items Total"", ""id"": ""metric:debt-like_items_total""}"
perimeter:alderstone_total_debt-like_liabilities,perimeter,Alderstone total debt-like liabilities,"{""type"": ""perimeter"", ""label"": ""Alderstone total debt-like liabilities"", ""id"": ""perimeter:alderstone_total_debt-like_liabilities""}"
claim:0027,claim,,"{""type"": ""claim"", ""value"": ""14.40"", ""unit"": ""$m"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Gross debt and debt-like items total $14.40m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": ""Funded debt $10.75m + Debt-like items $3.65m = $14.40m"", ""deal"": ""keystone"", ""id"": ""claim:0027""}"
metric:gross_debt_and_debt-like_items,metric,Gross Debt and Debt-Like Items,"{""type"": ""metric"", ""label"": ""Gross Debt and Debt-Like Items"", ""id"": ""metric:gross_debt_and_debt-like_items""}"
perimeter:alderstone_total_gross_debt_and_debt-like_obligations,perimeter,Alderstone total gross debt and debt-like obligations,"{""type"": ""perimeter"", ""label"": ""Alderstone total gross debt and debt-like obligations"", ""id"": ""perimeter:alderstone_total_gross_debt_and_debt-like_obligations""}"
claim:0028,claim,,"{""type"": ""claim"", ""value"": ""4.20"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Acquired unrestricted cash balance is $4.20m."", ""locator"": ""Debt and debt-like items table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0028""}"
metric:acquired_unrestricted_cash,metric,Acquired Unrestricted Cash,"{""type"": ""metric"", ""label"": ""Acquired Unrestricted Cash"", ""id"": ""metric:acquired_unrestricted_cash""}"
perimeter:alderstone_unrestricted_cash_balance,perimeter,Alderstone unrestricted cash balance,"{""type"": ""perimeter"", ""label"": ""Alderstone unrestricted cash balance"", ""id"": ""perimeter:alderstone_unrestricted_cash_balance""}"
claim:0029,claim,,"{""type"": ""claim"", ""value"": ""10.20"", ""unit"": ""$m"", ""epistemic"": ""derived"", ""direction"": ""context"", ""statement"": ""Net debt and debt-like items total $10.20m after deducting acquired unrestricted cash."", ""locator"": ""Debt and debt-like items table"", ""derivation"": ""Gross debt $14.40m \u2212 Unrestricted cash $4.20m = $10.20m"", ""deal"": ""keystone"", ""id"": ""claim:0029""}"
metric:net_debt_and_debt-like_items,metric,Net Debt and Debt-Like Items,"{""type"": ""metric"", ""label"": ""Net Debt and Debt-Like Items"", ""id"": ""metric:net_debt_and_debt-like_items""}"
perimeter:alderstone_total_net_debt_and_debt-like_obligations,perimeter,Alderstone total net debt and debt-like obligations,"{""type"": ""perimeter"", ""label"": ""Alderstone total net debt and debt-like obligations"", ""id"": ""perimeter:alderstone_total_net_debt_and_debt-like_obligations""}"
claim:0030,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Customer master is maintained at billing-account level; parent-company aggregation is a separate analytical exercise."", ""locator"": ""Other observations"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0030""}"
metric:customer_data_tracking_granularity,metric,Customer Data Tracking Granularity,"{""type"": ""metric"", ""label"": ""Customer Data Tracking Granularity"", ""id"": ""metric:customer_data_tracking_granularity""}"
perimeter:alderstone_customer_master_file,perimeter,Alderstone customer master file,"{""type"": ""perimeter"", ""label"": ""Alderstone customer master file"", ""id"": ""perimeter:alderstone_customer_master_file""}"
area:operations,area,Operations,"{""type"": ""area"", ""label"": ""Operations"", ""id"": ""area:operations""}"
claim:0031,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""attested"", ""direction"": ""contradicts"", ""statement"": ""Acquired offices use different project, time-entry and billing processes."", ""locator"": ""Other observations"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0031""}"
metric:operational_process_fragmentation_risk,metric,Operational Process Fragmentation Risk,"{""type"": ""metric"", ""label"": ""Operational Process Fragmentation Risk"", ""id"": ""metric:operational_process_fragmentation_risk""}"
perimeter:alderstone_acquired_offices,perimeter,Alderstone acquired offices,"{""type"": ""perimeter"", ""label"": ""Alderstone acquired offices"", ""id"": ""perimeter:alderstone_acquired_offices""}"
claim:0032,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""attested"", ""direction"": ""contradicts"", ""statement"": ""Unbilled WIP increased faster than revenue and aging controls are inconsistent."", ""locator"": ""Other observations"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0032""}"
metric:unbilled_wip_control_risk,metric,Unbilled WIP Control Risk,"{""type"": ""metric"", ""label"": ""Unbilled WIP Control Risk"", ""id"": ""metric:unbilled_wip_control_risk""}"
perimeter:alderstone_work-in-process_and_revenue_recognition,perimeter,Alderstone work-in-process and revenue recognition,"{""type"": ""perimeter"", ""label"": ""Alderstone work-in-process and revenue recognition"", ""id"": ""perimeter:alderstone_work-in-process_and_revenue_recognition""}"
claim:0033,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Capitalized systems expenditure and EBITDA add-backs must not duplicate the same cost."", ""locator"": ""Other observations"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0033""}"
metric:capitalized_systems_and_ebitda_double-counting_risk,metric,Capitalized Systems and EBITDA Double-Counting Risk,"{""type"": ""metric"", ""label"": ""Capitalized Systems and EBITDA Double-Counting Risk"", ""id"": ""metric:capitalized_systems_and_ebitda_double-counting_risk""}"
perimeter:alderstone_ebitda_normalization_controls,perimeter,Alderstone EBITDA normalization controls,"{""type"": ""perimeter"", ""label"": ""Alderstone EBITDA normalization controls"", ""id"": ""perimeter:alderstone_ebitda_normalization_controls""}"
